id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15131085,La Morgan,8070299,Chad,,Mercier-Hochelaga-Maisonneuve,45.55233,-73.5342,Private room,29,2,3,2018-08-06,0.04,1,0,0,
15856849,"Appartement Cosy, Parc LAURIER",14061150,Aline,,Le Plateau-Mont-Royal,45.53525,-73.58357,Entire home/apt,80,3,4,2017-09-06,0.06,1,0,0,
14529748,Downtown Montreal Fully furnished apartment WIFI,72761895,Samuel,,Ville-Marie,45.49682,-73.58248,Entire home/apt,75,32,11,2022-08-30,0.19,70,339,3,
15139203,Lovely apartment on 2 floors,19506165,Gloria,,Rosemont-La Petite-Patrie,45.54331,-73.59044,Entire home/apt,275,2,3,2019-09-02,0.05,2,173,0,
14535361,Explore the Charming Plateau from an Art-Filled Apartment,54872956,Kate,,Le Plateau-Mont-Royal,45.53477,-73.58603,Entire home/apt,112,5,173,2022-12-13,2.49,1,50,45,298723
14537998,"Perfectly Located, Cozy & Bright 2 bedrooms!",89938766,Marc,,Ville-Marie,45.51646,-73.55723,Entire home/apt,119,3,1,2017-09-10,0.02,1,0,0,
15857836,Grande chambre dans grand appartement :),84337767,Enzo,,Ville-Marie,45.52342,-73.55391,Private room,169,2,61,2019-09-22,0.82,1,17,0,
15141229,"Comfy appartment Downtown, Fully equipped, 830sqft",96020589,Omar,,Ville-Marie,45.50153,-73.57845,Entire home/apt,85,20,20,2022-08-29,0.26,1,3,4,
15859276,"Rose park, 3 bedrooms",22299469,Louise,,Rosemont-La Petite-Patrie,45.55593,-73.57638,Entire home/apt,59,60,30,2022-08-02,0.41,8,214,2,
14549548,Trendy Bright Loft in The Plateau,48341156,Colvin,,Le Plateau-Mont-Royal,45.53177,-73.5766,Entire home/apt,45,7,1,2017-10-10,0.02,1,0,0,
14556518,Grande chambre avec lit queen,7999305,Catherine,,Mercier-Hochelaga-Maisonneuve,45.55084,-73.53425,Private room,29,1,0,,,1,0,0,
14556624,Cozy flat in the heart of Mile-End / Plateau!,16722717,Andres,,Le Plateau-Mont-Royal,45.52221,-73.5931,Entire home/apt,36,31,254,2022-08-04,3.38,3,69,3,
15143923,Cozy Loft in historical Old Montreal,96043242,Julien,,Ville-Marie,45.5052,-73.55669,Entire home/apt,131,5,69,2022-10-09,0.92,1,52,15,
14588770,"Studio 5 minutes to subway, monthly stays",9770464,Melissa,,Ville-Marie,45.52109,-73.558,Entire home/apt,55,32,14,2022-07-04,0.18,15,233,2,
14590564,Cozy montreal guest room,90476984,Frank,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.45579,-73.64381,Private room,97,1,2,2017-05-14,0.03,1,0,0,
15861239,Private room,102605610,Jean-Paul,,Mercier-Hochelaga-Maisonneuve,45.57063,-73.52336,Private room,15,1,0,,,1,0,0,
15144439,"Plateau Mont-Royal, Le Malak",73990969,Maya,,Le Plateau-Mont-Royal,45.53061,-73.56597,Entire home/apt,66,31,38,2022-04-01,0.51,10,115,2,
15865934,"Quiet, Great Bed, Steps to Main Metro Line (WiFi)",14560046,Maité & Simon,,Mercier-Hochelaga-Maisonneuve,45.554,-73.55113,Private room,79,1,156,2022-09-26,2.11,6,300,4,296297
14596204,Bel appartement  moins chère,90536877,Isaac,,Lachine,45.44282,-73.64787,Entire home/apt,286,1,1,2019-01-01,0.02,1,0,0,
14610604,IDEAL 2 bedrooms 1 min walk from green line metro,57761284,Bernhard And Frederique,,Mercier-Hochelaga-Maisonneuve,45.57698,-73.54665,Entire home/apt,65,365,11,2019-12-24,0.14,13,0,0,
14617526,Cozy Apartment-1Very well located(Downtown),73874353,Yoyo,,Ville-Marie,45.51569,-73.55905,Entire home/apt,299,2,117,2019-09-22,1.53,1,136,0,
15164203,Cute Comfy 3 1/2 in the Mile End,51272824,Sarah,,Le Plateau-Mont-Royal,45.52544,-73.59814,Entire home/apt,75,1,31,2018-05-29,0.41,1,0,0,
14619044,2 pièces très bien situées,90743966,Prince Cahenol,,Mercier-Hochelaga-Maisonneuve,45.59669,-73.51228,Entire home/apt,120,1,1,2017-07-01,0.02,1,0,0,
14630880,"Downtown next to Bell Centre, with one parking",88596592,Wei Shi,,Ville-Marie,45.49481,-73.5705,Entire home/apt,128,1,27,2017-07-31,0.37,1,0,0,
15871216,In the heart of downtown Montréal,78959502,Paul,,Ville-Marie,45.49507,-73.57031,Entire home/apt,114,31,14,2019-07-15,0.19,1,0,0,
