name,neighbourhood,latitude,longitude,price,minimum_nights,PricePerNight,Price_CAD
"Center of Shibuya, Shinjuku, Ikebukuro! Free Wifi",Toshima Ku,35.71423,139.71046,7186,2,3593.0,35.71442
VERY CLOSE TO ASAKUSA/SKY TREE,Sumida Ku,35.72667,139.82152,8000,1,8000.0,79.52
"Tokyo station,Ginza,Nihombashi,Akihabara area#304",Chuo Ku,35.68889,139.77632,13000,1,13000.0,129.22
"Town house in Nishiazabu.(host: English,Japanese)",Minato Ku,35.65991,139.71999,8888,4,2222.0,22.086679999999998
TokyoTower★Direct to Shinjuku★FreeWifi★★Parking,Minato Ku,35.65837,139.73947,13600,1,13600.0,135.184
New Twin Room in Tokyo: Skytree & Asakusa 201,Sumida Ku,35.71493,139.81052,12280,3,4093.3333333333335,40.687733333333334
*Max 16 people* Guesthouse. Dormitory type.,Ota Ku,35.55425,139.73931,93714,1,93714.0,931.5171599999999
New Sunny Large 4Bedroom Home! 1 stop to Ikebukuro,Toshima Ku,35.73125,139.69484,30000,1,30000.0,298.2
"6 min to Shinjuku center. Free Parking, Pets ok",Shinjuku Ku,35.69833,139.72604,26286,1,26286.0,261.28283999999996
Wonderfully Located 80sqm Flat in Harajuku,Shibuya Ku,35.66632,139.7043,66214,2,33107.0,329.08358
New Double Room in Tokyo: Skytree View 702 B,Sumida Ku,35.71491,139.81027,14122,3,4707.333333333333,46.79089333333333
Shinjuku Japanese Garden House. Free parking.,Shinjuku Ku,35.69856,139.72517,32714,1,32714.0,325.17715999999996
New Twin room in Tokyo: Skytree & Asakusa 301,Sumida Ku,35.71528,139.81028,12280,3,4093.3333333333335,40.687733333333334
10 min from Shinjyuku. Free Home wifi.7pp,Shinjuku Ku,35.6899,139.71673,30000,2,15000.0,149.1
閑静な住宅街の一軒家、渋谷、原宿、代々木公園、明治神宮の近く、2BD、トイレ、シャワー、一人も良し,Shibuya Ku,35.67258,139.68424,8000,3,2666.6666666666665,26.506666666666664
SOLA HOTEL蒼空ホテル #501,Sumida Ku,35.70746,139.81711,81143,1,81143.0,806.5614199999999
Walk to Asakusa Ueno w/Skytree View #2,Taito Ku,35.71629,139.7844,19500,2,9750.0,96.91499999999999
Amazing location!Private Apt in Shinjuku Kabukicho,Shinjuku Ku,35.69686,139.70717,89900,1,89900.0,893.6059999999999
