,neighbourhood,latitude,longitude,price,minimum_nights
479,Mercier-Hochelaga-Maisonneuve,45.58616,-73.56057,100,5
480,Le Plateau-Mont-Royal,45.51936,-73.58528,97,1
482,Le Plateau-Mont-Royal,45.52888,-73.58635,53,3
486,Rosemont-La Petite-Patrie,45.53512,-73.60581,165,4
487,Le Plateau-Mont-Royal,45.53451,-73.58753,75,5
488,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46638,-73.62095,86,1
490,Rosemont-La Petite-Patrie,45.53952,-73.6095,112,10
492,Outremont,45.52031,-73.60267,145,6
500,Rosemont-La Petite-Patrie,45.54153,-73.60434,120,2
502,Ville-Marie,45.50449,-73.5625,359,2
503,Le Plateau-Mont-Royal,45.52263,-73.58003,160,3
508,Ville-Marie,45.49484,-73.58003,96,4
513,Mercier-Hochelaga-Maisonneuve,45.54628,-73.54997,90,2
515,Villeray-Saint-Michel-Parc-Extension,45.53887,-73.61758,135,2
517,Côte-des-Neiges-Notre-Dame-de-Grâce,45.48018,-73.61426,300,7
519,Ville-Marie,45.50876,-73.55246,164,1
520,Westmount,45.48476,-73.59076,120,4
522,Le Plateau-Mont-Royal,45.52565,-73.58423,233,2
526,Le Plateau-Mont-Royal,45.52396,-73.5838,233,2
527,Ville-Marie,45.51172,-73.55338,214,3
528,Le Plateau-Mont-Royal,45.51424,-73.5702,163,3
529,Le Plateau-Mont-Royal,45.52158,-73.58372,80,1
531,Ville-Marie,45.51046,-73.55474,246,3
534,Ville-Marie,45.51024,-73.55477,150,3
539,Le Plateau-Mont-Royal,45.53088,-73.58535,229,14
540,Le Plateau-Mont-Royal,45.51645,-73.57517,50,1
541,Ville-Marie,45.50814,-73.55333,191,2
542,Le Plateau-Mont-Royal,45.53088,-73.58675,186,7
544,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49428,-73.61335,231,4
545,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47387,-73.61359,175,4
546,Le Plateau-Mont-Royal,45.5192,-73.58444,40,1
547,Rosemont-La Petite-Patrie,45.53698,-73.61259,145,5
554,Rivière-des-Prairies-Pointe-aux-Trembles,45.66264,-73.54411,79,2
555,Ahuntsic-Cartierville,45.52825,-73.73077,278,1
556,Ville-Marie,45.51838,-73.55921,203,3
557,Villeray-Saint-Michel-Parc-Extension,45.56314,-73.59013,154,10
560,Villeray-Saint-Michel-Parc-Extension,45.5496,-73.60688,257,2
561,Villeray-Saint-Michel-Parc-Extension,45.56306,-73.59022,59,5
562,Le Plateau-Mont-Royal,45.51695,-73.56888,89,2
563,Villeray-Saint-Michel-Parc-Extension,45.56496,-73.58875,63,7
564,Villeray-Saint-Michel-Parc-Extension,45.565,-73.58916,61,7
570,Le Plateau-Mont-Royal,45.53088,-73.57879,145,2
571,Le Plateau-Mont-Royal,45.52301,-73.60195,50,1
572,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49721,-73.63331,243,3
573,Le Plateau-Mont-Royal,45.53039,-73.57695,155,2
574,Le Plateau-Mont-Royal,45.52827,-73.57763,162,2
575,Pointe-Claire,45.43819,-73.81274,58,1
577,Le Plateau-Mont-Royal,45.52005,-73.58974,120,2
580,Le Plateau-Mont-Royal,45.51572,-73.56921,135,1
581,Le Plateau-Mont-Royal,45.53181,-73.5803,250,2
582,Ahuntsic-Cartierville,45.55479,-73.66718,124,4
583,Le Sud-Ouest,45.49164,-73.5746,157,5
585,Villeray-Saint-Michel-Parc-Extension,45.54473,-73.63025,200,6
587,Le Plateau-Mont-Royal,45.52198,-73.58012,428,3
589,Ville-Marie,45.51092,-73.56142,128,2
590,Le Plateau-Mont-Royal,45.51546,-73.58335,175,5
593,Le Plateau-Mont-Royal,45.52204,-73.58869,120,2
594,Rosemont-La Petite-Patrie,45.5337,-73.61278,125,2
597,Le Plateau-Mont-Royal,45.52077,-73.57021,121,2
600,Le Plateau-Mont-Royal,45.51895,-73.5924,97,1
601,Le Plateau-Mont-Royal,45.52573,-73.58385,233,2
605,Saint-Laurent,45.51107,-73.6716,57,7
608,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47088,-73.64188,200,2
609,Le Plateau-Mont-Royal,45.51726,-73.57283,152,3
611,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49247,-73.62723,165,7
612,Saint-Laurent,45.5272,-73.6963,75,2
613,Rosemont-La Petite-Patrie,45.54116,-73.6071,216,3
614,Le Plateau-Mont-Royal,45.51676,-73.58454,545,4
615,Le Plateau-Mont-Royal,45.52269,-73.5771,80,2
616,Saint-Laurent,45.50293,-73.68462,62,1
617,Ville-Marie,45.51091,-73.56098,153,2
618,Le Sud-Ouest,45.49716,-73.56162,104,2
619,Le Plateau-Mont-Royal,45.52021,-73.57217,179,2
620,Ville-Marie,45.52984,-73.56128,90,4
621,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4941,-73.60927,88,3
622,Le Plateau-Mont-Royal,45.52611,-73.60427,100,10
624,Rosemont-La Petite-Patrie,45.53999,-73.60658,58,1
629,Villeray-Saint-Michel-Parc-Extension,45.53829,-73.61852,95,3
631,Le Plateau-Mont-Royal,45.51497,-73.57836,122,2
634,Ville-Marie,45.50703,-73.55124,128,1
636,Ville-Marie,45.49012,-73.5798,261,1
639,Ville-Marie,45.51751,-73.55605,350,1
640,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46732,-73.63047,450,5
641,Rosemont-La Petite-Patrie,45.542385,-73.604347,196,14
642,Ville-Marie,45.51391,-73.55979,136,1
643,Villeray-Saint-Michel-Parc-Extension,45.53642,-73.62038,145,10
646,Le Plateau-Mont-Royal,45.52782,-73.59218,147,1
649,Le Plateau-Mont-Royal,45.52413,-73.586,233,2
654,Ville-Marie,45.50536,-73.56337,266,2
656,Le Plateau-Mont-Royal,45.52862,-73.58235,250,4
657,Mercier-Hochelaga-Maisonneuve,45.57343,-73.54337,80,3
658,Rosemont-La Petite-Patrie,45.53451,-73.59616,89,5
659,Ahuntsic-Cartierville,45.55382,-73.65393,47,5
660,Rosemont-La Petite-Patrie,45.53989,-73.59995,149,1
662,Ville-Marie,45.50769,-73.56964,107,6
664,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46712,-73.6108,149,2
665,Villeray-Saint-Michel-Parc-Extension,45.53524,-73.61746,75,2
668,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46013,-73.63491,78,4
670,Le Plateau-Mont-Royal,45.53417,-73.58316,239,3
671,Le Plateau-Mont-Royal,45.52928,-73.59071,215,3
672,Ville-Marie,45.49223,-73.58506,175,4
677,Ville-Marie,45.51538,-73.56598,100,3
679,Le Plateau-Mont-Royal,45.52134,-73.58678,175,4
680,Villeray-Saint-Michel-Parc-Extension,45.57481,-73.63047,69,1
682,Ville-Marie,45.51051,-73.55873,175,2
683,Rosemont-La Petite-Patrie,45.5538,-73.57119,40,3
684,Rosemont-La Petite-Patrie,45.55695,-73.57194,225,7
685,Rosemont-La Petite-Patrie,45.53141,-73.61029,20,1
687,Saint-Laurent,45.50911,-73.66983,60,7
688,Mercier-Hochelaga-Maisonneuve,45.55825,-73.53093,746,2
692,Le Plateau-Mont-Royal,45.5126,-73.57485,199,2
696,Ville-Marie,45.49128,-73.57939,160,5
697,Ville-Marie,45.52772,-73.54849,350,7
701,Ville-Marie,45.53808,-73.55823,77,1
704,Ville-Marie,45.50526,-73.56913,126,4
708,Verdun,45.45967864990234,-73.57390594482422,50,3
709,Le Plateau-Mont-Royal,45.51572,-73.56904,135,1
714,Ville-Marie,45.50363,-73.55745,142,1
715,Ville-Marie,45.50971,-73.55458,191,3
716,Ville-Marie,45.50534,-73.5563,214,3
717,Villeray-Saint-Michel-Parc-Extension,45.53886,-73.62266,39,2
718,Le Plateau-Mont-Royal,45.51859,-73.57724,120,5
719,Ville-Marie,45.50769,-73.56964,121,6
720,LaSalle,45.43049,-73.66345,77,7
723,Villeray-Saint-Michel-Parc-Extension,45.55374,-73.60004,115,7
724,Rosemont-La Petite-Patrie,45.54129,-73.58456,70,5
727,Villeray-Saint-Michel-Parc-Extension,45.5399,-73.61437,70,7
730,Le Plateau-Mont-Royal,45.52884,-73.58085,88,2
731,Le Plateau-Mont-Royal,45.52614,-73.58255,300,10
733,Le Plateau-Mont-Royal,45.53192,-73.56313,165,3
734,Le Plateau-Mont-Royal,45.53464,-73.57172,120,1
735,Le Plateau-Mont-Royal,45.51663,-73.56809,193,2
736,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47492,-73.60552,70,2
737,Verdun,45.4601,-73.57036,186,1
738,Villeray-Saint-Michel-Parc-Extension,45.52733,-73.62659,86,2
741,Saint-Laurent,45.51914,-73.69517,35,3
742,Ville-Marie,45.53016,-73.55351,159,1
747,Verdun,45.45838,-73.5675,72,4
748,Ahuntsic-Cartierville,45.55761,-73.66219,50,2
749,Ville-Marie,45.49653,-73.5562,200,2
751,Le Plateau-Mont-Royal,45.52682,-73.58061,254,3
754,Verdun,45.46329,-73.57619,150,2
756,Le Plateau-Mont-Royal,45.52348,-73.60375,56,1
757,Ville-Marie,45.52699,-73.55748,73,1
758,Kirkland,45.44892,-73.85871,96,7
759,Le Plateau-Mont-Royal,45.52401,-73.59447,70,2
760,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4757,-73.63015,90,3
762,Ville-Marie,45.50503,-73.56928,120,2
763,Le Plateau-Mont-Royal,45.52225,-73.57424,131,1
764,Ville-Marie,45.5237,-73.55164,95,2
765,Le Plateau-Mont-Royal,45.522278,-73.574219,114,1
766,Le Plateau-Mont-Royal,45.522278,-73.574219,121,1
767,Mont-Royal,45.52136,-73.63046,250,2
770,Le Plateau-Mont-Royal,45.52228,-73.57422,119,1
771,Ville-Marie,45.51362,-73.55653,101,2
772,Le Plateau-Mont-Royal,45.52228,-73.57422,121,1
775,Verdun,45.44948,-73.56071,200,1
776,Le Plateau-Mont-Royal,45.5119,-73.5718,449,2
777,Le Plateau-Mont-Royal,45.52022,-73.57932,63,2
779,Le Plateau-Mont-Royal,45.53636,-73.57622,75,2
780,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49551,-73.6093,300,2
783,Le Sud-Ouest,45.49307,-73.56345,90,3
786,Pointe-Claire,45.44158,-73.81036,160,3
791,Le Plateau-Mont-Royal,45.52228,-73.57422,101,1
792,Rosemont-La Petite-Patrie,45.53167,-73.60258,20,1
796,Saint-Laurent,45.52117,-73.67952,31,1
798,Rosemont-La Petite-Patrie,45.53626,-73.60815,93,7
799,Le Plateau-Mont-Royal,45.52721,-73.57358,30,1
800,Ville-Marie,45.52292,-73.55857,30,1
802,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46968,-73.61003,125,3
803,Le Plateau-Mont-Royal,45.51929,-73.59409,85,3
804,Mercier-Hochelaga-Maisonneuve,45.56992,-73.52616,118,2
807,Le Plateau-Mont-Royal,45.51972,-73.58795,45,1
808,Ville-Marie,45.51488,-73.55615,395,4
809,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47197,-73.61899,375,4
810,Ville-Marie,45.51851,-73.55468,174,2
811,Mercier-Hochelaga-Maisonneuve,45.57649,-73.55099,150,5
812,Rosemont-La Petite-Patrie,45.53736,-73.61067,27,10
813,Rosemont-La Petite-Patrie,45.54272,-73.60596,80,3
814,Le Plateau-Mont-Royal,45.53237,-73.57564,99,2
815,Rosemont-La Petite-Patrie,45.53071,-73.60546,80,5
817,Le Plateau-Mont-Royal,45.53407,-73.5764,175,2
820,Le Plateau-Mont-Royal,45.5241,-73.57744,166,4
822,Rosemont-La Petite-Patrie,45.53738,-73.59191,120,10
823,Ville-Marie,45.52413,-73.56263,125,6
824,Le Plateau-Mont-Royal,45.51839,-73.57497,30,1
826,Villeray-Saint-Michel-Parc-Extension,45.55491,-73.59886,450,2
829,Ville-Marie,45.5007,-73.56805,40,2
830,Le Plateau-Mont-Royal,45.52853,-73.56772,32,1
832,Ville-Marie,45.50359,-73.55917,71,2
833,Le Plateau-Mont-Royal,45.52134,-73.58317,72,3
834,Le Plateau-Mont-Royal,45.51747,-73.58931,110,3
835,Le Plateau-Mont-Royal,45.51586,-73.56959,140,2
836,Ville-Marie,45.51695,-73.55853,85,5
839,Ville-Marie,45.50774,-73.5671,128,6
841,Ville-Marie,45.52023,-73.56365,106,2
842,Pierrefonds-Roxboro,45.4527,-73.89099,56,1
844,Le Plateau-Mont-Royal,45.53712,-73.58577,175,7
846,Montréal-Ouest,45.45205,-73.64644,250,1
847,Mercier-Hochelaga-Maisonneuve,45.55338,-73.55087,120,5
848,Le Plateau-Mont-Royal,45.51952,-73.59687,250,2
849,Saint-Laurent,45.51586,-73.67733,45,1
850,Mercier-Hochelaga-Maisonneuve,45.54092,-73.54246,24,2
852,Le Plateau-Mont-Royal,45.52315,-73.59544,25,1
856,Westmount,45.47756,-73.60663,55,7
857,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46476,-73.62834,30,1
858,Le Plateau-Mont-Royal,45.50827,-73.57505,150,1
859,Le Plateau-Mont-Royal,45.5318,-73.57688,171,2
860,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46905,-73.61013,140,3
864,Villeray-Saint-Michel-Parc-Extension,45.52595,-73.62504,120,2
866,Villeray-Saint-Michel-Parc-Extension,45.55032,-73.60671,44,3
871,Ville-Marie,45.51434,-73.55866,35,1
872,Ville-Marie,45.51135,-73.5605,554,2
873,Le Plateau-Mont-Royal,45.51103,-73.57595,70,1
874,Ville-Marie,45.52845,-73.55915,85,3
875,Le Sud-Ouest,45.48538,-73.57581,300,5
877,Le Plateau-Mont-Royal,45.53749,-73.57335,102,2
879,Rosemont-La Petite-Patrie,45.53075,-73.60488,70,1
880,Mercier-Hochelaga-Maisonneuve,45.5474048,-73.54490369999999,82,1
881,Ville-Marie,45.51616,-73.56654,40,7
883,Le Plateau-Mont-Royal,45.52761,-73.59638,61,1
885,Le Plateau-Mont-Royal,45.52923,-73.59054,68,1
887,Ville-Marie,45.51663,-73.55888,40,1
889,Le Plateau-Mont-Royal,45.52531,-73.60448,20,1
890,Le Plateau-Mont-Royal,45.51817,-73.58324,25,1
892,Le Plateau-Mont-Royal,45.52021,-73.59171,25,1
893,Mercier-Hochelaga-Maisonneuve,45.54585,-73.54931,45,4
894,Ville-Marie,45.51827,-73.56154,80,14
895,Pierrefonds-Roxboro,45.45993,-73.88918,69,1
896,Le Plateau-Mont-Royal,45.52233,-73.58503,121,2
897,Ville-Marie,45.49921,-73.58558,120,2
898,Ville-Marie,45.50574,-73.55472,89,1
899,Ville-Marie,45.51611,-73.5658,533,7
900,Ville-Marie,45.52121,-73.55432,22,1
901,Le Sud-Ouest,45.48275,-73.57697,110,1
902,Villeray-Saint-Michel-Parc-Extension,45.53864,-73.6288,22,3
903,Le Plateau-Mont-Royal,45.53702,-73.56832,18,1
904,Côte-des-Neiges-Notre-Dame-de-Grâce,45.50432,-73.61709,25,1
905,Le Plateau-Mont-Royal,45.53655,-73.57269,27,1
907,Le Plateau-Mont-Royal,45.5197,-73.58433,60,1
908,Le Sud-Ouest,45.44985,-73.59889,38,7
909,Le Plateau-Mont-Royal,45.5134,-73.57274,66,1
910,Le Plateau-Mont-Royal,45.53832,-73.58011,40,1
